bill_id,act_number
67414,301-20
67516,306-20
67529,328-20
67549,337-20
67561,356-20
67633,363-20
67656,384-20
66884,99-20
67722,393-20
67732,417-20
67879,433-20
67883,458-20
67940,461-20
67941,476-20
66909,108-20
66925,125-20
66976,136-20
67068,191-20
67090,192-20
67141,213-20
66760,322-20
67244,230-20
66763,323-20
67261,231-20
66772,1907-20
67122,259-20
66781,305-20
67073,204-20
66790,66-20
67603,383-20
66798,90-20
66813,104-20
66822,153-20
67158,277-20
67159,278-20
67332,380-20
67445,507-20
70164,1066-20
66841,87-20
66986,152-20
66854,293-20
67103,214-20
66873,404-20
67070,221-20
66876,212-20
66872,137-20
66893,321-20
66896,151-20
66908,120-20
66951,118-20
66912,121-20
66911,285-20
67128,210-20
66915,428-20
66916,1422-20
67069,1241-20
66921,592-20
67530,492-20
66928,150-20
66932,341-20
67256,260-20
66942,367-20
67150,276-20
67125,248-20
66944,251-20
66946,252-20
66947,253-20
67059,552-20
67213,291-20
66949,361-20
67186,268-20
69240,1271-20
69243,1272-20
66959,188-20
66962,447-20
67212,245-20
66965,348-20
67376,271-20
66970,1423-20
67263,297-20
70601,1023-20
66972,1444-20
67262,298-20
66978,405-20
68899,1194-20
66991,918-20
69033,2320-20
69563,813-20
68142,599-20
67003,241-20
67004,170-20
67005,171-20
67006,172-20
67007,173-20
67008,174-20
67009,175-20
67010,176-20
67011,177-20
67012,178-20
67013,179-20
67014,180-20
67015,181-20
67016,182-20
67017,183-20
67018,184-20
67019,185-20
67020,186-20
67021,890-20
67556,654-20
67031,330-20
67357,273-20
67032,1881-20
68909,708-20
70619,1179-20
67036,388-20
67386,312-20
67105,264-20
67161,216-20
67039,402-20
67343,279-20
67040,490-20
67723,403-20
67046,680-20
67577,408-20
67049,300-20
67052,266-20
67060,703-20
67461,495-20
67061,619-20
67063,815-20
67270,496-20
67064,816-20
67271,501-20
67238,272-20
67079,390-20
67397,317-20
67085,194-20
67086,195-20
67092,211-20
67333,338-20
67107,686-20
67355,334-20
67111,711-20
67377,375-20
67114,265-20
67120,217-20
67117,738-20
67558,401-20
67682,768-20
67683,398-20
67864,464-20
67131,395-20
67578,343-20
67132,1586-20
70593,1032-20
67354,335-20
67425,374-20
67164,392-20
67237,274-20
67165,318-20
67374,303-20
67167,366-20
67174,267-20
67180,254-20
67181,255-20
67182,262-20
67280,319-20
67187,460-20
67390,316-20
67189,1027-20
67643,494-20
67191,391-20
67565,320-20
67702,373-20
67402,440-20
67495,315-20
67203,381-20
67204,1643-20
68900,625-20
67206,327-20
67208,1646-20
68112,1208-20
67217,693-20
67426,349-20
67218,410-20
67535,355-20
67221,556-20
67435,444-20
67227,261-20
67344,281-20
